codigo,nombre,categoria,subcategoria,precio,stock_minimo
BEL-031,Mascarilla Facial,belleza,Cuidado facial,40.0,5
ACC-031,Llavero Capibara,accesorios,Accesorios,30.0,5
BEL-032,Crema Facial,belleza,Cuidado facial,40.0,5
ACC-032,Llavero de Peluche,accesorios,Accesorios,30.0,5
BEL-033,Sérum Facial,belleza,Cuidado facial,40.0,5
ACC-033,Ponchos,accesorios,Ropa,65.0,5
BEL-034,Protector Solar,belleza,Cuidado facial,40.0,5
NOV-002,Brillo con Llaveros,novedades,General,30.0,5
BEL-035,Bálsamo Labial,belleza,Cuidado personal,25.0,5
BEL-036,Crema Corporal,belleza,Cuidado corporal,30.0,5
BEL-037,Loción Corporal,belleza,Cuidado corporal,30.0,5
BEL-038,Perfume,belleza,Perfumería,120.0,5
BEL-039,Colonia,belleza,Perfumería,120.0,5
BEL-040,Body Splash,belleza,Perfumería,120.0,5
BEL-041,Desodorante,belleza,Perfumería,120.0,5
BEL-042,Esponja de Maquillaje,belleza,Accesorios de maquillaje,25.0,5
BEL-043,Brocha para Base,belleza,Accesorios de maquillaje,25.0,5
BEL-044,Brocha para Rubor,belleza,Accesorios de maquillaje,25.0,5
BEL-045,Brocha para Sombras,belleza,Accesorios de maquillaje,25.0,5
BEL-046,Set de Brochas,belleza,Accesorios de maquillaje,25.0,5
BEL-047,Rizador de Pestañas,belleza,Accesorios de maquillaje,25.0,5
BEL-048,Pinza para Cejas,belleza,Accesorios de maquillaje,25.0,5
BEL-049,Espejo de Maquillaje,belleza,Accesorios de maquillaje,25.0,5
BEL-050,Gemas para Rostro,belleza,Decoración facial,30.0,5
